First Name,Last Name,DOB,SSN,State
Claudia,Claudia,4/1/1987,XXX-XX-377,any state
Roy,Roy,3/30/1984,XXX-XX-467,any state
Michelle,Michelle,7/8/1982,XXX-XX-201,any state
Amanda,Amanda,4/11/1983,XXX-XX-590,any state
Theresa,Theresa,10/22/1992,XXX-XX-184,any state
Debra,Debra,7/20/1988,XXX-XX-227,any state
John,John,12/11/1985,XXX-XX-338,any state
Beth,Beth,12/22/1982,XXX-XX-698,any state
Erica,Erica,7/1/1981,XXX-XX-160,any state
Kimberly,Kimberly,1/22/1992,XXX-XX-714,any state
Kyle,Kyle,10/24/1973,XXX-XX-371,any state
Nicole,Nicole,4/30/1977,XXX-XX-765,any state
Bonnie,Bonnie,4/1/1973,XXX-XX-074,any state
Maurice,Maurice,9/7/1984,XXX-XX-837,any state
Corey,Corey,10/8/1988,XXX-XX-248,any state
Brett,Brett,6/20/1986,XXX-XX-084,any state
Melody,Melody,1/23/1979,XXX-XX-192,any state
James,James,4/12/1980,XXX-XX-236,any state
Robert,Robert,4/14/1994,XXX-XX-596,any state
Caroline,Caroline,5/5/1990,XXX-XX-301,any state
Megan,Megan,3/24/1973,XXX-XX-504,any state
Shawn,Shawn,1/19/1978,XXX-XX-767,any state
David,David,9/15/1977,XXX-XX-333,any state
Julie,Julie,1/20/1993,XXX-XX-727,any state
Briana,Briana,2/8/1978,XXX-XX-272,any state
Robin,Robin,2/27/1978,XXX-XX-413,any state
Albert,Albert,1/20/1975,XXX-XX-207,any state
Mark,Mark,4/2/1989,XXX-XX-706,any state
Elizabeth,Elizabeth,2/25/1992,XXX-XX-824,any state
Tracy,Tracy,11/1/1983,XXX-XX-073,any state
Patricia,Patricia,6/30/1979,XXX-XX-843,any state
Tammy,Tammy,12/29/1980,XXX-XX-840,any state
Roger,Roger,3/4/1974,XXX-XX-311,any state
Kelly,Kelly,4/13/1992,XXX-XX-821,any state
Charles,Charles,4/14/1993,XXX-XX-159,any state
David,David,6/23/1985,XXX-XX-002,any state
David,David,1/8/1983,XXX-XX-415,any state
Valerie,Valerie,4/10/1983,XXX-XX-382,any state
Sarah,Sarah,11/20/1984,XXX-XX-110,any state
Christina,Christina,10/20/1979,XXX-XX-155,any state
Cynthia,Cynthia,11/26/1973,XXX-XX-763,any state
Michelle,Michelle,4/9/1983,XXX-XX-469,any state
Amanda,Amanda,3/4/1973,XXX-XX-203,any state
Jeff,Jeff,8/10/1992,XXX-XX-488,any state
Patrick,Patrick,7/29/1991,XXX-XX-169,any state
Elizabeth,Elizabeth,11/5/1984,XXX-XX-060,any state
Noah,Noah,4/30/1977,XXX-XX-096,any state
Caroline,Caroline,12/29/1983,XXX-XX-228,any state
Andrea,Andrea,6/15/1978,XXX-XX-305,any state
Sara,Sara,1/2/1983,XXX-XX-761,any state
Jennifer,Jennifer,4/23/1974,XXX-XX-264,any state
Deanna,Deanna,2/5/1990,XXX-XX-037,any state
Kristina,Kristina,2/17/1989,XXX-XX-005,any state
Laura,Laura,4/5/1974,XXX-XX-303,any state
Matthew,Matthew,11/17/1990,XXX-XX-236,any state
Tamara,Tamara,5/20/1980,XXX-XX-758,any state
Samantha,Samantha,6/4/1976,XXX-XX-279,any state
John,John,3/2/1983,XXX-XX-487,any state
Andrea,Andrea,12/11/1985,XXX-XX-443,any state
Lori,Lori,10/22/1989,XXX-XX-253,any state
Ronald,Ronald,12/13/1973,XXX-XX-479,any state
Chelsea,Chelsea,3/26/1974,XXX-XX-383,any state
Daniel,Daniel,9/7/1989,XXX-XX-463,any state
Jonathan,Jonathan,1/13/1977,XXX-XX-835,any state
Jessica,Jessica,4/23/1981,XXX-XX-424,any state
Timothy,Timothy,6/16/1981,XXX-XX-644,any state
Donna,Donna,7/14/1993,XXX-XX-272,any state
Tonya,Tonya,9/4/1972,XXX-XX-758,any state
Pamela,Pamela,2/20/1980,XXX-XX-116,any state
Michelle,Michelle,5/5/1993,XXX-XX-276,any state
Alexander,Alexander,10/27/1983,XXX-XX-691,any state
Jay,Jay,3/6/1985,XXX-XX-223,any state
Teresa,Teresa,7/27/1972,XXX-XX-888,any state
Bradley,Bradley,5/8/1980,XXX-XX-169,any state
Rhonda,Rhonda,6/3/1979,XXX-XX-417,any state
Brandon,Brandon,7/22/1977,XXX-XX-787,any state
Brandon,Brandon,8/10/1980,XXX-XX-456,any state
Barbara,Barbara,10/30/1989,XXX-XX-061,any state
James,James,4/21/1978,XXX-XX-780,any state
Drew,Drew,3/25/1993,XXX-XX-472,any state
Virginia,Virginia,2/18/1982,XXX-XX-672,any state
Mary,Mary,1/29/1990,XXX-XX-565,any state
Ryan,Ryan,1/6/1975,XXX-XX-092,any state
Amanda,Amanda,8/5/1989,XXX-XX-572,any state
Morgan,Morgan,7/13/1980,XXX-XX-023,any state
Kimberly,Kimberly,6/11/1973,XXX-XX-215,any state
Kathleen,Kathleen,1/15/1990,XXX-XX-020,any state
Diana,Diana,9/13/1972,XXX-XX-070,any state
Logan,Logan,3/26/1990,XXX-XX-561,any state
Tracy,Tracy,5/3/1975,XXX-XX-818,any state
Edwin,Edwin,2/13/1988,XXX-XX-408,any state
Kelly,Kelly,7/14/1976,XXX-XX-729,any state
Robert,Robert,1/12/1987,XXX-XX-038,any state
Jane,Jane,1/30/1991,XXX-XX-747,any state
Denise,Denise,10/10/1983,XXX-XX-748,any state
Jonathon,Jonathon,4/30/1980,XXX-XX-825,any state
Amanda,Amanda,9/24/1994,XXX-XX-300,any state
Heather,Heather,11/20/1985,XXX-XX-237,any state
Kathryn,Kathryn,8/24/1987,XXX-XX-137,any state
Cory,Cory,3/13/1977,XXX-XX-272,any state
Ryan,Ryan,7/14/1982,XXX-XX-857,any state
Sara,Sara,8/16/1985,XXX-XX-024,any state
Daniel,Daniel,4/21/1979,XXX-XX-560,any state
Paul,Paul,6/25/1977,XXX-XX-401,any state
Elizabeth,Elizabeth,1/22/1976,XXX-XX-638,any state
Ann,Ann,10/27/1989,XXX-XX-460,any state
Thomas,Thomas,2/23/1991,XXX-XX-771,any state
Brian,Brian,7/5/1982,XXX-XX-054,any state
Donna,Donna,3/31/1990,XXX-XX-306,any state
Kimberly,Kimberly,1/1/1981,XXX-XX-769,any state
Jeremy,Jeremy,11/22/1987,XXX-XX-157,any state
Dennis,Dennis,6/11/1989,XXX-XX-326,any state
Kenneth,Kenneth,8/24/1989,XXX-XX-175,any state
Tyler,Tyler,6/28/1972,XXX-XX-212,any state
Scott,Scott,2/24/1972,XXX-XX-855,any state
Derrick,Derrick,12/5/1982,XXX-XX-075,any state
Christine,Christine,11/17/1974,XXX-XX-018,any state
Julie,Julie,11/23/1976,XXX-XX-058,any state
Rachel,Rachel,3/3/1982,XXX-XX-716,any state
Kyle,Kyle,12/25/1984,XXX-XX-003,any state
Nancy,Nancy,7/5/1976,XXX-XX-847,any state
John,John,5/25/1993,XXX-XX-299,any state
Robert,Robert,7/16/1979,XXX-XX-371,any state
Keith,Keith,4/15/1978,XXX-XX-538,any state
Dennis,Dennis,11/15/1973,XXX-XX-716,any state
Ronald,Ronald,12/21/1993,XXX-XX-282,any state
Leslie,Leslie,6/15/1973,XXX-XX-805,any state
Maria,Maria,12/20/1973,XXX-XX-165,any state
Melissa,Melissa,3/22/1981,XXX-XX-484,any state
Joshua,Joshua,11/20/1982,XXX-XX-268,any state
Crystal,Crystal,8/29/1993,XXX-XX-252,any state
Sheri,Sheri,8/4/1991,XXX-XX-422,any state
Steven,Steven,2/11/1986,XXX-XX-063,any state
Linda,Linda,12/22/1978,XXX-XX-138,any state
John,John,7/25/1989,XXX-XX-879,any state
Mark,Mark,9/9/1992,XXX-XX-254,any state
Diana,Diana,12/2/1973,XXX-XX-893,any state
Karen,Karen,6/9/1990,XXX-XX-244,any state
Laura,Laura,10/20/1992,XXX-XX-401,any state
Diana,Diana,9/20/1983,XXX-XX-802,any state
Samantha,Samantha,7/10/1977,XXX-XX-225,any state
Kayla,Kayla,10/13/1975,XXX-XX-014,any state
Crystal,Crystal,12/31/1980,XXX-XX-497,any state
Brooke,Brooke,4/9/1979,XXX-XX-200,any state
John,John,3/22/1987,XXX-XX-260,any state
Karla,Karla,7/10/1983,XXX-XX-294,any state
Jennifer,Jennifer,8/23/1977,XXX-XX-234,any state
Blake,Blake,9/10/1977,XXX-XX-199,any state
Michael,Michael,11/5/1980,XXX-XX-716,any state
Jermaine,Jermaine,12/24/1989,XXX-XX-800,any state
Patricia,Patricia,4/22/1976,XXX-XX-214,any state
Cameron,Cameron,2/1/1975,XXX-XX-781,any state
Michelle,Michelle,6/10/1988,XXX-XX-038,any state
Hannah,Hannah,9/15/1978,XXX-XX-570,any state
Erica,Erica,5/27/1978,XXX-XX-620,any state
Jeremy,Jeremy,1/13/1982,XXX-XX-153,any state
Jocc,Jocc,2/24/1993,XXX-XX-289,any state
Natrrn,Natrrn,11/19/1978,XXX-XX-330,any state
Anvvnnda,Anvvnnda,1/0/1999,XXX-XX-114,any state
Heexxx,Heexxx,8/10/1967,XXX-XX-966,any state
Hddniel,Hddniel,2/14/1972,XXX-XX-656,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
,,,XXX-XX-,any state
